who,to,peso
"azure",".net",2.09331923466404E+16
"sql-server",".net",3.23225242193399E+16
"asp.net",".net",4.84070299619901E+15
"linq",".net",2.0501743858149E+16
"c#",".net",6.21678950429238E+16
"codeigniter","ajax",2.31919004056518E+15
"jquery","ajax",5.05667286158997E+15
"mysql","ajax",2.48000894229175E+15
"css","ajax",2.66137137246889E+16
"php","ajax",2.8010679256604E+15
"javascript","ajax",2.43991444226232E+15
"json","ajax",3.29474460109319E+15
"azure","amazon-web-services",2.13099495939463E+15
"devops","amazon-web-services",2.49835312010178E+15
"docker","amazon-web-services",3.21980710141005E+16
"java","android",5.09847307664765E+16
"nginx","apache",4.85831734640834E+16
"mysql","apache",2.90978345476985E+16
"linux","apache",2.81682130131587E+16
".net","asp.net",4.84070299619901E+15
"sql","asp.net",216722646057341
"sql-server","asp.net",5.9673289486899E+15
"c#","asp.net",804485421720991
"jquery","asp.net",2.87231782200982E+16
"mvc","asp.net",2.28284121630288E+16
"azure","asp.net",2.3764072995058E+16
"linq","asp.net",3.15812777461708E+16
"vb.net","asp.net",2.37113462811445E+16
".net","azure",2.09331923466404E+16
"c#","azure",2.21444870118189E+15
"asp.net","azure",2.3764072995058E+16
"amazon-web-services","azure",2.13099495939463E+15
"c++","c",8.08910461414738E+15
"python","c",2.23204322539354E+16
"java","c",2.60494593041004E+15
"linq","c#",2.52229316431428E+16
"sql","c#",2.56139036170436E+16
"asp.net","c#",804485421720991
"vb.net","c#",2.51851359563246E+16
".net","c#",6.21678950429238E+16
"sql-server","c#",4.5914651235525E+15
"azure","c#",2.21444870118189E+15
"c","c++",8.08910461414738E+15
"java","c++",2.32010956582659E+16
"python","c++",2.43010456662067E+16
"mysql","codeigniter",2.25968859293116E+16
"jquery","codeigniter",2.67297713096735E+16
"laravel","codeigniter",3.16587093174608E+16
"php","codeigniter",3.74014964616073E+15
"ajax","codeigniter",2.31919004056518E+15
"wordpress","codeigniter",2.51331307657485E+15
"ajax","css",2.66137137246889E+16
"mysql","css",2.70106224894446E+16
"photoshop","css",2.0855721424968E+16
"jquery","css",6.66742056997517E+15
"html","css",1.26571127129727E+16
"javascript","css",7.55366000961222E+15
"html5","css",8.71382698615689E+15
"wordpress","css",3.12648246688488E+16
"php","css",5.14476049091089E+16
"amazon-web-services","devops",2.49835312010178E+15
"docker","devops",2.45542028176682E+16
"jenkins","devops",2.36025876075352E+16
"python","django",4.99059429536832E+16
"flask","django",4.23366431399249E+15
"postgresql","django",2.24892526431824E+15
"amazon-web-services","docker",3.21980710141005E+16
"devops","docker",2.45542028176682E+16
"jenkins","docker",2.65286075998095E+16
"reactjs","express",3.19242725889634E+16
"redux","express",2.15434584176768E+16
"node.js","express",5.88290766229592E+16
"mongodb","express",4.87680608117814E+15
"python","flask",2.52513718614193E+16
"django","flask",4.23366431399249E+15
"jenkins","git",2.30754401459751E+16
"linux","git",2.77087927747243E+15
"jsp","hibernate",3.94069459855105E+16
"java","hibernate",3.25235651045229E+15
"spring-boot","hibernate",3.02329037063762E+16
"maven","hibernate",3.41000520247912E+16
"spring-mvc","hibernate",6.41098982130922E+16
"java-ee","hibernate",3.99081737855448E+15
"spring","hibernate",1.03268284463552E+16
"mysql","html",2.13556888902308E+15
"javascript","html",5.97554888405298E+15
"php","html",4.56610408797106E+15
"css","html",1.26571127129727E+16
"jquery","html",4.42336202302194E+15
"php","html5",3.23505069191621E+16
"wordpress","html5",2.22164407540197E+16
"javascript","html5",4.70063637570509E+15
